country,unemployment_percentage
Afghanistan,35
Albania,14
Algeria,11.7
Antigua and Barbuda,11
Argentina,8.1
Armenia,18.9
Australia,5.6
Austria,5.4
Azerbaijan,6
Bahrain,3.8
Bangladesh,4.1
Barbados,9.8
Belarus,1
Belgium,7.5
Belize,10.1
Benin,1
Bolivia,4
Bosnia and Herzegovina,20.5
Botswana,20
Brazil,13.1
Brunei,6.9
Bulgaria,6.6
Burkina Faso,77
Cabo Verde,9
Cambodia,0.3
Cameroon,4.3
Canada,6.5
Cayman Islands,4
Central African Republic,8
Chile,7
China,4
Colombia,9.3
Comoros,6.5
Costa Rica,8.1
Croatia,13.9
Cyprus,11.8
Czech Republic,2.8
Denmark,5.8
Djibouti,60
Dominica,23
Dominican Republic,5.5
Ecuador,5.1
Egypt,12.2
El Salvador,7
Equatorial Guinea,8.6
Eritrea,8.6
Estonia,8.4
Ethiopia,17.5
Fiji,5.5
Finland,8.7
France,9.5
Georgia,11.5
Germany,3.8
Ghana,11.9
Greece,22.3
Grenada,33.5
Guatemala,2.4
Guinea,2.8
Guyana,11.1
Haiti,40.6
Honduras,5.9
Hong Kong,2.6
Hungary,4.4
Iceland,2.8
India,8.8
Indonesia,5.4
Iran,12.4
Iraq,16
Israel,4.3
Italy,11.4
Jamaica,12.2
Japan,2.9
Jordan,16.5
Kazakhstan,5
Kenya,40
Kiribati,30.6
Kosovo,34.8
Kuwait,2.1
Kyrgyzstan,7.4
Laos,1.5
Latvia,9
Lesotho,28.1
Liberia,2.8
Lithuania,7
Luxembourg,5.9
Macau,2
Madagascar,2.1
Malawi,20.4
Malaysia,3.4
Maldives,11.6
Mali,8.1
Malta,4.4
Marshall Islands,36
Mauritania,11.7
Mauritius,6.9
Mexico,3.6
Micronesia Federated States of,16.2
Moldova,4.3
Mongolia,8
Montenegro,17.1
Morocco,9.3
Mozambique,22.4
Namibia,28.1
Nauru,23
Nepal,3.3
Netherlands,5.1
New Zealand,4.9
Nicaragua,6.5
Niger,2.6
Nigeria,13.4
Norway,4
Oman,15
Pakistan,6
Palau,1.7
Panama,5.5
Papua New Guinea,2.5
Paraguay,6.5
Peru,6.7
Philippines,6
Poland,4.8
Portugal,9.7
Qatar,0.6
Republic of the Congo,36
Romania,5.3
Russia,5.5
Rwanda,2.7
Sao Tome and Principe,12.2
San Marino,8
Saudi Arabia,5.6
Senegal,48
Serbia,16
Seychelles,3
Sierra Leone,9.1
Singapore,2.2
Slovakia,8.1
Slovenia,6.8
South Africa,27.6
Spain,17.1
Sri Lanka,4
Sudan,19.6
Suriname,9.1
Swaziland,28
Sweden,6.6
Switzerland,3
Taiwan,3.8
Tajikistan,2.4
Tanzania,10.3
Thailand,0.7
The Bahamas,10
Togo,6.9
Tonga,1.1
Trinidad and Tobago,4.1
Tunisia,13
Turkey,11.2
Turkmenistan,11
Uganda,9.4
Ukraine,9.5
United Arab Emirates,3.6
United Kingdom,4.4
United States ,4.4
Uruguay,7.3
Uzbekistan,4.9
Vanuatu,1.7
Venezuela,26.4
Vietnam,2.3
Yemen,27
Zambia,15
Zimbabwe,95
